file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 8 GPT.txt,National unconstrained iteration 8 GPT.txt,ChatGPT,National Security,Unconstrained,8.0,Primary,False,1028,7.28,none,ai_draft,0.6794783912434641,0.7257646315037011,0.5894542932510376
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 9 GPT.txt,National unconstrained iteration 9 GPT.txt,ChatGPT,National Security,Unconstrained,9.0,Primary,False,1003,6.92,none,ai_draft,0.6696695709620437,0.7200946767453615,0.5873645544052124
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 1 gemini.txt,Air innovation iteration 1 gemini.txt,Gemini,Air Pollution,Innovation,1.0,Primary,False,693,4.75,none,ai_draft,0.7145959214932966,0.7577482973853785,0.5869587063789368
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 10 gemini.txt,Air innovation iteration 10 gemini.txt,Gemini,Air Pollution,Innovation,10.0,Primary,False,724,4.91,none,ai_draft,0.7242074041903446,0.7737679417285304,0.5891767144203186
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 2 gemini.txt,Air innovation iteration 2 gemini.txt,Gemini,Air Pollution,Innovation,2.0,Primary,False,649,4.61,none,ai_draft,0.7083300791510713,0.7384673099799963,0.5904427170753479
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 3 gemini.txt,Air innovation iteration 3 gemini.txt,Gemini,Air Pollution,Innovation,3.0,Primary,False,705,4.77,none,ai_draft,0.7120839470771841,0.7719339161321164,0.5809841752052307
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 4 gemini.txt,Air innovation iteration 4 gemini.txt,Gemini,Air Pollution,Innovation,4.0,Primary,False,695,4.69,none,ai_draft,0.7076057878533909,0.7818160415365104,0.5879605412483215
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 5 gemini.txt,Air innovation iteration 5 gemini.txt,Gemini,Air Pollution,Innovation,5.0,Primary,False,740,5.04,none,ai_draft,0.6984149109489334,0.7315957425726747,0.5923423171043396
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 6 gemini.txt,Air innovation iteration 6 gemini.txt,Gemini,Air Pollution,Innovation,6.0,Primary,False,716,4.78,none,ai_draft,0.704105879204993,0.7211975003940676,0.5910860896110535
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 7 gemini.txt,Air innovation iteration 7 gemini.txt,Gemini,Air Pollution,Innovation,7.0,Primary,False,711,4.73,none,ai_draft,0.7066534726450492,0.759045708157017,0.5890975594520569
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 8 gemini.txt,Air innovation iteration 8 gemini.txt,Gemini,Air Pollution,Innovation,8.0,Primary,False,746,5.04,none,ai_draft,0.7162483779475094,0.7844155130194557,0.584986686706543
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 9 gemini.txt,Air innovation iteration 9 gemini.txt,Gemini,Air Pollution,Innovation,9.0,Primary,False,653,4.48,none,ai_draft,0.7110660730631474,0.7806483949525744,0.5897073745727539
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 1 Gemini.txt,Air status quo iteration 1 Gemini.txt,Gemini,Air Pollution,Status Quo,1.0,Primary,False,821,5.35,none,ai_draft,0.6643845013470125,0.6139501065707341,0.6180963516235352
