file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 2 GPT.txt,DPDP unconstrained iteration 2 GPT.txt,ChatGPT,Data Protection,Unconstrained,2.0,Primary,False,1238,8.4,none,ai_draft,0.5563111933026754,0.211702853132074,0.6509562134742737,0.743058608058608,0.6462035541195477,21.821428571428573,649.218112244898,-71.6809778645363
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 3 GPT.txt,DPDP unconstrained iteration 3 GPT.txt,ChatGPT,Data Protection,Unconstrained,3.0,Primary,False,1138,7.69,none,ai_draft,0.57120982307666,0.2681548171578978,0.6410840749740601,0.7695034079844206,0.35149384885764495,18.716666666666665,546.6363888888889,-76.15561287489935
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 4 GPT.txt,DPDP unconstrained iteration 4 GPT.txt,ChatGPT,Data Protection,Unconstrained,4.0,Primary,False,1082,7.37,none,ai_draft,0.5657668737834141,0.2252508398728632,0.6456595659255981,0.7580327868852459,0.46210720887245843,28.83783783783784,1060.3520818115412,-53.74723300252157
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 5 GPT.txt,DPDP unconstrained iteration 5 GPT.txt,ChatGPT,Data Protection,Unconstrained,5.0,Primary,False,1216,8.27,none,ai_draft,0.5852497048857741,0.2318301983678229,0.6366224884986877,0.7350769230769231,0.24671052631578946,25.104166666666668,846.9266493055555,-63.05689247352537
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 6 GPT.txt,DPDP unconstrained iteration 6 GPT.txt,ChatGPT,Data Protection,Unconstrained,6.0,Primary,False,1170,7.93,none,ai_draft,0.5664634905729548,0.2160120909808198,0.6370854377746582,0.7462692307692307,0.8547008547008548,19.810344827586206,149.01575505350772,-93.49990336637241
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 7 GPT.txt,DPDP unconstrained iteration 7 GPT.txt,ChatGPT,Data Protection,Unconstrained,7.0,Primary,False,1247,8.43,none,ai_draft,0.5819976938017981,0.2399217326644263,0.6233692765235901,0.7642228212039534,0.5613472333600642,16.54054054054054,39.49159970781592,-98.27736862974544
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 8 GPT.txt,DPDP unconstrained iteration 8 GPT.txt,ChatGPT,Data Protection,Unconstrained,8.0,Primary,False,1284,8.84,none,ai_draft,0.5754336601877622,0.2470813556199467,0.6489084959030151,0.7531516183986372,0.1557632398753894,28.886363636363637,893.7370867768594,-61.0150119561492
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 9 GPT.txt,DPDP unconstrained iteration 9 GPT.txt,ChatGPT,Data Protection,Unconstrained,9.0,Primary,False,1292,8.73,none,ai_draft,0.5736907078805756,0.2330929277410983,0.6385544538497925,0.7414011676396997,0.23219814241486067,23.181818181818183,763.312396694215,-66.70416266805685
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 1 GPT.txt,National innovation iteration 1 GPT.txt,ChatGPT,National Security,Innovation,1.0,Primary,False,973,7.09,none,ai_draft,0.6785843530119273,0.6968564477282362,0.5757949948310852,0.8306026785714286,1.2332990750256936,13.305555555555555,31.045524691358025,-98.3585055885716
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 10 GPT.txt,National innovation iteration 10 GPT.txt,ChatGPT,National Security,Innovation,10.0,Primary,False,1176,9.0,none,ai_draft,0.7059624628795252,0.7860828357289015,0.5867377519607544,0.8329323308270676,0.5102040816326531,21.574074074074073,461.91117969821676,-75.57700739192272
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 2 GPT.txt,National innovation iteration 2 GPT.txt,ChatGPT,National Security,Innovation,2.0,Primary,False,1047,7.45,none,ai_draft,0.6719257204491016,0.691345321388035,0.5768445730209351,0.8322832980972518,0.8595988538681949,26.358974358974358,491.6147271531887,-74.00646839695749
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 3 GPT.txt,National innovation iteration 3 GPT.txt,ChatGPT,National Security,Innovation,3.0,Primary,False,983,7.1,none,ai_draft,0.6936655505255319,0.7583702487877035,0.5985543727874756,0.8053710247349825,0.40691759918616477,16.25,101.4875,-94.63397170007528
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 4 GPT.txt,National innovation iteration 4 GPT.txt,ChatGPT,National Security,Innovation,4.0,Primary,False,1071,7.63,none,ai_draft,0.6929272026596061,0.7660405851044437,0.5969434976577759,0.7871473354231975,0.5602240896358543,19.64814814814815,100.37620027434842,-94.69273032332983
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 5 GPT.txt,National innovation iteration 5 GPT.txt,ChatGPT,National Security,Innovation,5.0,Primary,False,1252,8.99,none,ai_draft,0.6869725599498803,0.7350262205878924,0.5749028325080872,0.8166546762589929,0.5591054313099041,19.967741935483872,108.22476586888658,-94.27774695006605
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 6 GPT.txt,National innovation iteration 6 GPT.txt,ChatGPT,National Security,Innovation,6.0,Primary,False,1176,8.35,none,ai_draft,0.6805330395099811,0.7065871992733859,0.5831056833267212,0.8160075685903501,0.7653061224489796,19.913793103448278,264.42360285374554,-86.01892315722377
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 7 GPT.txt,National innovation iteration 7 GPT.txt,ChatGPT,National Security,Innovation,7.0,Primary,False,1057,7.7,none,ai_draft,0.6926545134973671,0.7718781553802099,0.5745841264724731,0.8336590436590436,0.47303689687795647,20.470588235294116,607.0334486735873,-67.90384367943473
